column_name,column_status,column_type
cs_tkn_cnt,INPUT,INTERVAL
cs_tkn_flg,INPUT,INTERVAL
dc_avg_bal_12m,INPUT,INTERVAL
dc_avg_bal_3m,INPUT,INTERVAL
dc_avg_bal_6m,INPUT,INTERVAL
dc_bal_12m,INPUT,INTERVAL
dc_bal_12v,INPUT,INTERVAL
dc_bal_3m,INPUT,INTERVAL
dc_bal_3v,INPUT,INTERVAL
dc_bal_6m,INPUT,INTERVAL
dc_bal_6v,INPUT,INTERVAL
dc_cash_rsb_0_6m,INPUT,INTERVAL
dc_cash_rsb_12_18m,INPUT,INTERVAL
dc_cash_rsb_6_12m,INPUT,INTERVAL
dc_curr_cnt,INPUT,INTERVAL
dc_curr_flg,INPUT,INTERVAL
dc_cur_bal,INPUT,INTERVAL
dc_hist_cnt,INPUT,INTERVAL
dc_hist_flg,INPUT,INTERVAL
dc_max_bal_12m,INPUT,INTERVAL
dc_max_bal_3m,INPUT,INTERVAL
dc_max_bal_6m,INPUT,INTERVAL
dc_pos_amt_3m,INPUT,INTERVAL
dc_pos_amt_3_6m,INPUT,INTERVAL
dc_pos_amt_6_12m,INPUT,INTERVAL
dc_txn_amt_3m,INPUT,INTERVAL
dc_txn_amt_3_6m,INPUT,INTERVAL
dc_txn_amt_6_12m,INPUT,INTERVAL
dep_amt_12m,INPUT,INTERVAL
dep_amt_3m,INPUT,INTERVAL
dep_amt_6m,INPUT,INTERVAL
dep_curr_12v,INPUT,INTERVAL
dep_curr_3v,INPUT,INTERVAL
dep_curr_6v,INPUT,INTERVAL
dep_curr_amt,INPUT,INTERVAL
dep_curr_amt_12v,INPUT,INTERVAL
dep_curr_amt_3v,INPUT,INTERVAL
dep_curr_amt_6v,INPUT,INTERVAL
dep_curr_cnt,INPUT,INTERVAL
dep_hist_cnt,INPUT,INTERVAL
dep_max_amt_12m,INPUT,INTERVAL
dep_max_amt_3m,INPUT,INTERVAL
dep_max_amt_6m,INPUT,INTERVAL
distance,INPUT,INTERVAL
edu_cd,INPUT,NOMINAL
event,TARGET,BINARY
foreign_txn_0_6m,INPUT,INTERVAL
